build_name,character,weapon,artifact_set,artifact_main
Aino,Aino,Flame-Forged Insight,Silken Moon's Serenade,hp:atk:enerRech_:eleMas:critRate
Ineffa,Ineffa,Deathmatch,Thundering Fury,hp:atk:eleMas:eleMas:critRate
Jahoda,Jahoda,TBD,Silken Moon's Serenade,hp:atk:eleMas:eleMas:critRate
Mizuki,Yumemizuki Mizuki,Sunny Morning Sleep-In,Viridescent Vener,hp:atk:eleMas:eleMas:eleMas
Layla,Layla,The Dockhand's Assisstant,Tenacity of the Milileth:Vourukasha's Glow,hp:atk:hp_:hp_:hp_
Baizhu,Baizhu,Sacrificial Jade,Deepwood Memories,hp:atk:enerRech_:hp_:heal_
Sigewinne,Sigewinne,Silvershower Heartstrings,Fragment of Harmonic Whimsy,hp:atk:enerRech_:hydro_dmg_:critDMG
Nilou,Nilou,Key of Khaj Nisut,Tenacity of the Milileth:Vourukasha's Glow,hp:atk:hp_:hp_:hp_
Chiori,Chiori,Flue of Ezpital,Husk of Oppulent Dreams,hp:atk:def_:def_:def_
Lauma,Lauma,Blackmarrow Lantern,Deepwood Memories,hp:atk:eleMas:eleMas:eleMas
Clorinde,Clorinde,Absolution,Fragment of Harmonic Whimsy,hp:atk:atk_:electro_dmg_:critDMG
Emilie,Emilie,Moonpiercer,Unfinished Reverie,hp:atk:atk_:atk_:atk_
Escoffier,Escoffier,Ocean-Hued Clam,Symphonist of Scent,hp:atk:atk_:atk_:heal_
Mualani,Mualani,Surf's Up,Obsidian Codex,hp:atk:hp_:hydro_dmg_:hp_
Varesa,Varesa,Lost Prayer to the Sacred Winds,Long Night's Oath,hp:atk:atk_:electro_dmg_:critDMG
Arataki Itto,Arataki Itto,Serpent Spine,Husk of Oppulent Dreams,hp:atk:def_:geo_dmg_:critDMG
Yoimiya,Yoimiya,Scion of the Blazing Sun,Shimenawa's Reminiscence,hp:atk:eleMas:pyro_dmg_:critDMG
Kokomi,Sangonomiya Kokomi,Prototype Amber,Tenacity of the Milileth,hp:atk:hp_:hp_:heal_
Citlali,Citlali,Starcaller's Watch,Gilded Dreams,hp:atk:enerRech_:eleMas:eleMas
Kachina,Kachina,Footprints of the Rainbow,Husk of Oppulent Dreams,hp:atk:def_:def_:def_
Freminet,Freminet,Rainslasher,Gilded Dreams,hp:atk:eleMas:eleMas:eleMas
Lynette,Lynette,Finale of the Deep,Marechausee Hunter,hp:atk:enerRech_:atk_:critDMG
Lyney,Lyney,Amos' Bow,Marechausee Hunter,hp:atk:eleMas:pyro_dmg_:critRate
Alhaitham,Alhaitham,Light of Folicar Incision,Gilded Dreams,hp:atk:eleMas:dendro_dmg__:critRate
