build1,build2,build3,build4
Deepwood-Alhaitham,Furina,Iansan,VV-Xianyun
Alhaitham,Healer-Kokomi,Deepwood-Nahida,EM-Raiden
Alhaitham,Baizhu,Furina,EM-Raiden
Alhaitham,Sucrose,Emilie,Burst-Thoma
Alhaitham,EM-Shinobu,Deepwood-Nahida,Furina
Alhaitham,EM-Shinobu,Deepwood-Nahida,Xingqui
Alhaitham,EM-Shinbou,Deepwood-Nahida,Dahlia
Alhaitham,Yelan,Ineffa,Lauma 
Alhaitham,Aio,Inefa,Lauma
Alhaitham,Aino,Ineffa,Lauma
Alhaitham,Nilou,Aino,Lauma
Alhaitham,Collei,Kokomi,Lauma
Alhaitham,Collei,Aino,Lauma 
Amber,Bennet,VV-Lynette,EM-Layla
Amber,Dahlia,Jean,Bennett
Ayaka,Emilie,Xiangling,Baizhu
Ayaka,Healer-Kokomi,Furina,Shenhe 
Ayaka,Support-Kokomi,HP-Thoma,Shenhe
Ayaka,ATK-Escoffier,Furina,Shenhe
Ayato,Escoffier,Furina,Yelan
Ayato,Kokomi,Burst-Thoma,Kazuha
Ayato,Furina,YunJin,Bennett 
Ayato,Support-Nilou,Kirara,Yaoyao
Ayato,Support-Miko,Furina,Baizhu
Ayato,Dahlia,Yun Jin,Sayu
Ayato,Yun Jin,Yelan,Kazhua
Ayato,Ineffa,Xilonen,Xingqui
Ayato,Aino,Ineffa,Xilonen 
Ayato,Baizhu,Aino,Lauma 
Ayato,Nahida,Kokomi,Lauma 
Ayato,Nahida,Aino,Lauma 
Itto,Yelan,Lisa,Xilonen
Itto,Lisa,Barbara,Support-Chiori
Itto,Yelan,Gorou,Support-Chiori
Itto,Dahlia,Xilonen,Lisa
Chasca,Citlali,Bennett,Furina
Chasca,Citlali,Kokomi,
Chasca,Nahida,Yae Miko,Furina
Chasca,Sara,Bennett,Shenhe 
Chasca,Sara,Diona,Shenhe
Chasca,Ineffa,Sara,Sigewinne
Chasca,Citlali,Bennett,Iansan
Chasca,Ineffa,Kazuha,Sigewinne
Freeze-Chongyun,Candace,Furina,ATK-Escoffier
Freeze-Chongyun,Deepwood-Nahida,Shinobu,Xingqui
Plunge-Chongyun,Yelan,Healer-Xianyun,Shenhe 
Clorinde,Deepwood-Nahida,Dori,Furina 
Clorinde,Calamity-Kirara,Deepwood-Nahida,Yelan
Clorinde,ER-Raiden,Baizhu,Furina 
Clorinde,Chevreuse,Sara,Burst-Thoma
Clorinde,ATK-Iansan,Calamity-Kirara,Deepwood-Yaoyao 
Clorinde,Furina,Beidou,Deepwood-Nahida 
Clorinde,Tenacity-,Sara,Deepwood-Nahida 
Clorinde,Sara,Chevreuse,EM-Dehya 
Clorinde,Yun Jin,Furina,Healer-Sigewinne
Clorinde,Yelan,Support-Kazuha,ATK-Iansan
Clorinde,EM-Nahida,HP-Shinobu,Yelan
Clorinde,Support-Ororon,Yelan,Support-Kazuha 
Clorinde,Chevreuse,VV-Lynette,Sara 
Clorinde,Sucrose,Sigewinne,Ineffa 
Clorinde,Aino,Ineffa,Xilonen
Clorinde,Ineffa,Yelan,Xilonen
Cyno,Deepwood-Collei,Support-Xilonen,EM-Nahida
HP-Deyha,Citlali,Candace,Burst-Shenhe
Diluc,Bennett,Furina,VV-Xianyun
Diluc,Bennett,Citlali,VV-Xianyun
Emilie,Bennnett,Baizhu,vv-Sucrose
DPS-Escoffier,Furina,Burst-Shenhe,Support-Rosaria
Fischl,Mika,Xianyun,Phys-Rosaria
Freminet,Mika,Beidou,Furina
Fremint,Dahlia,Mika,Fischl
Freminet,Ineffa,Mika,Nilou
Freminet,Diona,Yelan,Miko
Freminet,Dori,Yelan,Melt-Ayaka
Freminet,Diona,Yelan,Lisa 
Freminet,Aino,Ineffa,Mika
Freminet,Mika,Ineffa,Aino
Cryo-Freminet,Furina,Escoffier,VV-Sucrose
Cryo-Freminet,Furina,Shenhe,Escoffier
Cryo-Freminet,Bennett,Xianyun,Citlali
Cryo-Freminet,Kokomi,Burst-Shenhe,VV-Sucrose
Cryo-Freminet,Escoffier,Furina,Shenhe 
Cryo-Freminet,Kokomi,Shenhe,Support-Fischl 
Cryo-Freminet,Xinyan,Mika,Sucrose 
Cryo-Freminet,Xilonen,Kazuha,Dahlia
Pyro-Gaming,Bennett,Citlali,VV-Xianyun
Pyro-Gaming,Bennett,Furina,VV-Xianyun
Pyro-Gaming,Bennett,Citlali,Iansan
Pyro-Gaming,Bennett,Furina,Iansan
Pyro-Gaming,Bennett,Citlali,Rosaria
Pyro-Gaming,Iansan,Citlali,VV-Xianyun
HP-Gaming,Furina,Citlali,VV-Xianyun
HP-Gaming,Furina,Citlali,Iansan
HP-Gaming,Furina,Iansan,VV-Xianyun
HP-Gaming,Citlali,Furina,Rosaria
VV-Ifa,Xinqui,Furina,Natlan-Ororon
VV-Ifa,Faruzan,Yelan,Dori
VV-Ifa,Furina,Natlan-Ororon,Charlotte
Obsidian-Ifa,Faruzan,Yelan,Dori
Obsidian-Ifa,Furina,Natlan-Ororon,Charlotte
Obsidian-Ifa,Xinqui,Furina,Natlan-Ororon
Obsidian-Ifa,Furina,Natlan-Iansan,VV-Xianyun
Obsidian-Ifa,Faruzan,Bennett,Yun Jin 
Obsidian-Ifa,Furina,Natlan-Ororon,Support-Miko
Ifa,Ororon,Dahlia,Kazuha
Sunfire-Jean,Bennet,EM-Raiden,VV-Sucrose
Sunfire-Jean,Klee,EM-Raiden,Bennett
Kaeya,Qiqi,Bennett,Lisa
DPS-Kachina,Gorou,Support-Chiori,Noelle
Kaveh,Aino,Charlotte,Deepwood-Kirara
Kaveh,EM-Kokomi,Support-Rosaria,Deepwood-Kirara
Kaveh,Nilou,Lauma,Dahlia
Bloom-Kaveh,Support-Nilou,Deepwood-Nahida,EM-Kokomi
DPS-Kazuha,Support-Kachina,Qiqi,Support-Chiori
Keqing,Furina,Support-Sucrose,Support-Ororon
Keqing,Furina,Yelan,Support-Ororon
